model,lambda,seed,episode,reward,original_reward,collision,success,tailgating_count,tailgating_rate,unsafe_lane_change_count,unsafe_lane_change_rate,lane_changes,speed,survival_time,safety_violation_score
Baseline PPO,0.0,2025,5,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,6,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,2025,7,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,2025,8,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,10,20.02568183792191,20.02568183792191,0,1,8,0.2666666666666666,0,0.0,0,20.032102297402385,30,0.2666666666666666
Baseline PPO,0.0,2025,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,12,22.02568183792192,22.02568183792192,0,1,19,0.6333333333333333,0,0.0,0,20.032102297402385,30,0.6333333333333333
Baseline PPO,0.0,2025,13,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,14,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,15,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,16,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,2025,17,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,19,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,0,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,1,15.5256818379219,21.025681837921898,0,1,11,0.3666666666666666,0,0.0,0,20.032102297402385,30,0.3666666666666666
Safe PPO,0.1,42,2,20.02568183792192,22.02568183792192,0,1,4,0.1333333333333333,0,0.0,0,20.032102297402385,30,0.1333333333333333
Safe PPO,0.1,42,3,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,4,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,5,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,6,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,7,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,8,20.52568183792192,22.02568183792192,0,1,3,0.1,0,0.0,0,20.032102297402385,30,0.1
Safe PPO,0.1,42,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,10,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,11,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,12,5.025681837921909,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Safe PPO,0.1,42,13,16.525681837921915,22.02568183792192,0,1,11,0.3666666666666666,0,0.0,0,20.032102297402385,30,0.3666666666666666
Safe PPO,0.1,42,14,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,15,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,16,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,17,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,42,18,5.025681837921909,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Safe PPO,0.1,42,19,18.525681837921898,21.025681837921898,0,1,5,0.1666666666666666,0,0.0,0,20.032102297402385,30,0.1666666666666666
Safe PPO,0.1,123,0,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,1,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,2,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,3,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,4,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
